No,year,month,day,hour,Temperature
661,2019,4,28,14,26.44
662,2019,4,28,15,26.397
663,2019,4,28,16,26.1855
664,2019,4,28,17,25.7755
665,2019,4,28,18,25.0207
666,2019,4,28,19,23.605
667,2019,4,28,20,21.9398
668,2019,4,28,21,21.2495
669,2019,4,28,22,20.4363
670,2019,4,28,23,20.1503
671,2019,4,29,0,19.7568
672,2019,4,29,1,19.5045
673,2019,4,29,2,19.2477
674,2019,4,29,3,18.9748
675,2019,4,29,4,19.2182
676,2019,4,29,5,19.6337
677,2019,4,29,6,20.2985
678,2019,4,29,7,20.7865
679,2019,4,29,8,22.333
680,2019,4,29,9,23.3242
681,2019,4,29,10,25.2238
682,2019,4,29,11,26.7357
683,2019,4,29,12,27.2127
684,2019,4,29,13,27.7553
685,2019,4,29,14,27.4885
686,2019,4,29,15,27.9505
687,2019,4,29,16,27.7185
688,2019,4,29,17,27.305
689,2019,4,29,18,26.5382
690,2019,4,29,19,25.2373
691,2019,4,29,20,24.2028
692,2019,4,29,21,23.8123
693,2019,4,29,22,23.449
694,2019,4,29,23,23.1418
695,2019,4,30,0,22.7518
696,2019,4,30,1,22.3057
697,2019,4,30,2,21.7798
698,2019,4,30,3,21.384
699,2019,4,30,4,21.101
700,2019,4,30,5,20.7505
701,2019,4,30,6,20.7802
702,2019,4,30,7,21.4752
703,2019,4,30,8,22.4478
704,2019,4,30,9,23.3903
705,2019,4,30,10,25.2077
706,2019,4,30,11,26.4798
707,2019,4,30,12,27.5595
708,2019,4,30,13,27.798
709,2019,4,30,14,28.2832
710,2019,4,30,15,28.0463
711,2019,4,30,16,27.8687
712,2019,4,30,17,26.798
713,2019,4,30,18,25.8172
714,2019,4,30,19,24.7487
715,2019,4,30,20,24.0823
716,2019,4,30,21,23.6603
717,2019,4,30,22,23.4072
718,2019,4,30,23,23.5158
